Title,Date,Rating,ReviewTitle,Date,Rating,Review

Best pizza in town,2024-03-15,5,"The crust was perfectly crispy on the outside and chewy inside. Their signature pepperoni pizza had the perfect ratio of sauce to cheese, and the pepperoni curled up into little cups of deliciousness. Will definitely be back!"Best pizza in town,2024-03-15,5,"The crust was perfectly crispy on the outside and chewy inside. Their signature pepperoni pizza had the perfect ratio of sauce to cheese, and the pepperoni curled up into little cups of deliciousness. Will definitely be back!"

Disappointed with service,2024-02-20,2,"While the pizza itself was decent, we waited over an hour for delivery despite being told it would be 30 minutes. When it finally arrived, it was barely warm. The flavors were good but the experience ruined it."Disappointed with service,2024-02-20,2,"While the pizza itself was decent, we waited over an hour for delivery despite being told it would be 30 minutes. When it finally arrived, it was barely warm. The flavors were good but the experience ruined it."

Authentic Italian experience,2024-01-05,5,"This place reminds me of the pizzerias in Naples. Their wood-fired Margherita pizza has that perfect char, fresh basil, and buffalo mozzarella that melts in your mouth. The owner even came out to chat with us about Italy."Authentic Italian experience,2024-01-05,5,"This place reminds me of the pizzerias in Naples. Their wood-fired Margherita pizza has that perfect char, fresh basil, and buffalo mozzarella that melts in your mouth. The owner even came out to chat with us about Italy."

Overpriced for what you get,2024-03-01,3,"$24 for a medium pizza with just two toppings seems excessive. The ingredients were fresh and the crust was good, but nothing justified the premium price. There are better values elsewhere in town."Overpriced for what you get,2024-03-01,3,"$24 for a medium pizza with just two toppings seems excessive. The ingredients were fresh and the crust was good, but nothing justified the premium price. There are better values elsewhere in town."

Great gluten-free option,2024-02-15,4,"As someone with celiac disease, finding good gluten-free pizza is a challenge. Their cauliflower crust was one of the best I've had - doesn't fall apart and has a nice flavor. Toppings were generous too."Great gluten-free option,2024-02-15,4,"As someone with celiac disease, finding good gluten-free pizza is a challenge. Their cauliflower crust was one of the best I've had - doesn't fall apart and has a nice flavor. Toppings were generous too."

Family night favorite,2024-03-10,5,"We bring our kids here every Friday night. The staff always make them feel special, providing dough for them to play with while we wait. Their kid-sized pizzas are perfect, and the parents love the craft beer selection."Family night favorite,2024-03-10,5,"We bring our kids here every Friday night. The staff always make them feel special, providing dough for them to play with while we wait. Their kid-sized pizzas are perfect, and the parents love the craft beer selection."

Greasy and disappointing,2024-01-25,2,"I had high hopes based on the reviews, but my pizza was swimming in grease. The crust was undercooked in the center, and the promised 'fresh vegetables' looked and tasted canned. Such a letdown."Greasy and disappointing,2024-01-25,2,"I had high hopes based on the reviews, but my pizza was swimming in grease. The crust was undercooked in the center, and the promised 'fresh vegetables' looked and tasted canned. Such a letdown."

Hidden gem for vegans,2024-02-28,5,"I can't believe how good their vegan pizza is! They make their own cashew cheese that actually melts properly, and their vegetable toppings are always fresh and seasonal. Even my non-vegan friends love it."Hidden gem for vegans,2024-02-28,5,"I can't believe how good their vegan pizza is! They make their own cashew cheese that actually melts properly, and their vegetable toppings are always fresh and seasonal. Even my non-vegan friends love it."

Mediocre at best,2024-03-05,3,"Nothing terrible but nothing special either. The crust was okay, toppings were standard, and service was fine. It's the kind of place you go when you're in the area, but wouldn't make a special trip for."Mediocre at best,2024-03-05,3,"Nothing terrible but nothing special either. The crust was okay, toppings were standard, and service was fine. It's the kind of place you go when you're in the area, but wouldn't make a special trip for."

Quick lunch spot,2024-03-08,4,"Perfect for a quick lunch break. They get your order ready in 10 minutes, pizza is hot and tasty. The Margherita is simple but excellent - they really know how to balance flavors."Late night savior,2024-01-15,4,"Open until 2am on weekends, this place has saved me many times after a night out. Their slices are huge, reheated perfectly crisp, and they have creative toppings that hit the spot when you're hungry late at night."

Inconsistent quality,2024-02-01,3,"Sometimes their pizza is amazing, other times it's just okay. The last visit had cold cheese and undercooked dough. I think it depends on who's making it that day."Spicy special was too much,2024-02-10,2,"Their 'Firebreather' pizza should come with a warning label. It wasn't enjoyably spicy - it was painfully hot to the point where I couldn't taste anything else. Had to throw most of it away."

Worth the wait,2024-03-12,5,"We had to wait 45 minutes on a Friday night but it was absolutely worth it. The seafood pizza was incredible - fresh mussels and shrimp, perfectly cooked. Everything about this place screams quality."Perfect thin crust,2024-03-18,5,"If you're a thin crust fan, this is your place. Cracker-thin, crispy all the way through, yet somehow still has a nice chew. Their simple cheese pizza showcases their excellent sauce - slightly sweet with a nice herb blend."

Bland and uninspiring,2024-02-10,2,"The pizza looked good but tasted like cardboard. The sauce was too acidic, cheese was bland, and the crust had no character. Tried different toppings but nothing could save it."Dirty restaurant,2024-01-20,1,"I was shocked at the state of this place. Tables were sticky, floors were dirty, and I could see into the kitchen which didn't look any better. Couldn't enjoy my pizza as I was too concerned about hygiene standards."

Perfect balance,2024-03-18,5,"Every ingredient tastes fresh and the pizza is done right. The sauce has the perfect balance of acidity and sweetness, the mozzarella is creamy, and the crust has just the right amount of char."Best Hawaiian in the city,2024-02-25,5,"I know Hawaiian pizza is controversial, but if you're a fan, you must try theirs. They use fresh pineapple (not canned) and house-cured ham that's sliced thick. The sweet and salty balance is perfect."

Excellent neighborhood restaurant,2024-03-20,5,"This is our go-to place for casual dining. Friendly staff, consistent quality, and reasonable prices. We've never had a bad experience here. Highly recommend their specialty Sicilian pizza!"Too much sauce,2024-03-08,3,"The ingredients seemed high quality, but they absolutely drown their pizzas in sauce. My crust was soggy in minutes, and all I could taste was tomato. Asked for light sauce on a second pizza and it was much better."

